Details,QTY(PCS),Unit Price,Amount,日期,主播,INV
Garden Quartz Sphere ,1,26,26,2023-10-15 00:00:00,小马,MC6384
Metal Dragonflies Stands  silver,1,5,5,2023-10-15 00:00:00,小马,MC6384
Tanzania Black Tourmaline Growing With Agate  Tower  20%discount 28*0.8,1,22.4,22.4,2023-10-18 00:00:00,小马,MC6384
Larimar Tower20%discount 9*0.8,1,7.2,7.2,2023-10-18 00:00:00,小马,MC6384
Ruby Kyanite Point 20%discount 4.5*0.8,1,3.6,3.6,2023-10-18 00:00:00,小马,MC6384
Blue Tieger's Eye Point 20%discount 6*5*0.8,1,5.2,5.2,2023-10-18 00:00:00,小马,MC6384
Tiger's Eyes Point 20%discount 7*0.8,1,5.6,5.6,2023-10-18 00:00:00,小马,MC6384
Dream Amethyst Point ,1,5,5,2023-10-18 00:00:00,小马,MC6384
Amethyst Clusters ,1,8,8,2023-10-18 00:00:00,小马,MC6384
"Pink OpalPoints Bag 
2 Pieces(4+2)",1,6,6,2023-10-19 00:00:00,斯蒂芬,MC6384
"Pink Jade Points Bag 
5 Pieces",1,20,20,2023-10-20 00:00:00,小马,MC6384
"Flower Agate Points Bag 
3 Pieces(3+5+2)",1,10,10,2023-10-20 00:00:00,小马,MC6384
Purple Mica Point ,1,5,5,2023-10-20 00:00:00,小马,MC6384
Banded Agate With Amethyst Tower,1,15,15,2023-10-20 00:00:00,小马,MC6384
"Luminous Scorpion specimen Spheres 
2 Pieces(4+10)",1,14,14,2023-10-11 00:00:00,小马,MC6384
Carnelian Elephants ,2,4,8,2023-10-20 00:00:00,小马,MC6383
"Golden Healer Spheres 
2 Pieces(22+13)",1,35,35,2023-10-22 00:00:00,小马,MC6383
"Labradorite Conch
2 Pieces(14+17)",1,31,31,2023-10-22 00:00:00,小马,MC6383
"Jade with Blue needle Points 
2 Pieces(10+12)",1,22,22,2023-10-23 00:00:00,斯蒂芬,MC6383
Silver Obsidian Elephants Head,2,10,20,2023-10-23 00:00:00,斯蒂芬,MC6383
Ivory Nut Skull,1,4,4,2023-10-23 00:00:00,斯蒂芬,MC6383
Picasso Stone Owls ,3,3,9,2023-10-23 00:00:00,斯蒂芬,MC6383
Evil EyesPendants ,2,3,6,2023-10-25 00:00:00,斯蒂芬,MC6383
Luminous &Opalite Dragons ,2,8,16,2023-10-25 00:00:00,斯蒂芬,MC6383
Super 7Bracelets ,7,2,14,2023-10-25 00:00:00,斯蒂芬,MC6383
Silver Metal Necklaces ,3,6,18,2023-10-25 00:00:00,斯蒂芬,MC6383
3Silver Metal Necklaces ,3,8,24,2023-10-25 00:00:00,斯蒂芬,MC6383
"Mixed Tumble Necklaces 
4 Pieces(1 tiger eye ,1 lapis，1 dreamamethyst，1 citrine )",4,6,24,2023-10-25 00:00:00,斯蒂芬,MC6383
Carnelian Elephants ,2,4,8,2023-10-20 00:00:00,小马,MC6383
"Golden Healer Spheres 
2 Pieces(22+13)",1,35,35,2023-10-22 00:00:00,小马,MC6383
"Labradorite Conch
2 Pieces(14+17)",1,31,31,2023-10-22 00:00:00,小马,MC6383
"Jade with Blue needle Points 
2 Pieces(10+12)",1,22,22,2023-10-23 00:00:00,斯蒂芬,MC6383
Silver Obsidian Elephants Head,2,10,20,2023-10-23 00:00:00,斯蒂芬,MC6383
Ivory Nut Skull,1,4,4,2023-10-23 00:00:00,斯蒂芬,MC6383
